Doos;Plakket;;°
1;1;358;254
1;2;180;190
1;3;452;499
1;4;572;236
1;5;150;244
1;6;570;815
1;7;577;477
1;8;298;219
1;9;190;169
1;10;48;309
2;1;283;260
2;2;190;205
2;3;98;57
2;4;238;137
2;5;285;281
2;6;251;154
2;7;136;215
2;8;183;157
2;9;157;122
2;10;322;224
3;1;162;172
3;2;205;193
3;3;189;208
3;4;196;194
3;5;326;222
3;6;180;230
3;7;155;189
3;8;188;227
3;9;181;200
3;10;168;259
4;1;581;650
4;2;635;555
4;3;227;307
4;4;99;86
4;5;475;438
4;6;255;214
4;7;603;751
4;8;225;369
4;9;526;469
4;10;84;99
5;1;508;362
5;2;151;200
5;3;522;272
5;4;780;843
5;5;638;705
5;6;425;558
5;7;250;264
5;8;643;790
5;9;255;811
5;10;546;632
6;1;275;214
6;2;228;292
6;3;298;167
6;4;351;307
6;5;211;132
6;6;298;147
6;7;180;152
6;8;269;257
6;9;180;205
6;10;104;48
7;1;805;645
7;2;334;246
7;3;530;505
7;4;450;525
7;5;433;403
7;6;590;538
7;7;228;532
7;8;368;722
7;9;481;566
7;10;759;337
8;1;402;536
8;2;307;485
8;3;494;451
8;4;289;456
8;5;193;177
8;6;133;213
8;7;423;626
8;8;627;757
8;9;287;433
8;10;615;458
9;1;215;301
9;2;297;264
9;3;245;204
9;4;414;390
9;5;430;527
9;6;372;459
9;7;373;486
9;8;173;190
9;9;359;321
9;10;335;219